survey_year,dorn_group,tenure_class,displaced_thousands,unweighted_count,sampling_variance
1990,product,long_tenured,254.35429000000002,150,527.3137303086381
1990,prof,long_tenured,277.21320000000003,166,569.4667168740775
1990,recreation,long_tenured,7.8236,5,17.388179041931533
1990,retsales,long_tenured,226.334,135,589.5411643061171
1990,shealth,long_tenured,23.42698,14,42.194233763355896
1990,tech,long_tenured,122.65963,73,262.9799704179587
1990,transp,long_tenured,423.94852000000003,246,888.9828938623376
1992,beauty,all_tenures,43.37186,23,102.94129150499434
1992,child,all_tenures,12.27773,6,27.995198173645665
1992,clean,all_tenures,81.02907,41,199.36530430759893
1992,cleric,all_tenures,1765.57172,1007,3902.4943500042186
1992,constr,all_tenures,956.58365,526,1894.05895683464
1992,exec,all_tenures,989.5311999999999,529,2270.3204767497073
1992,farmer,all_tenures,6.69503,4,13.95749190923485
1992,finsales,all_tenures,438.47958,261,888.239421974003
1992,firepol,all_tenures,5.6517800000000005,5,10.815323256518592
1992,food,all_tenures,515.2437,300,1219.0589735389515
1992,guard,all_tenures,72.36962,40,171.87788065734273
1992,janitor,all_tenures,230.80975,129,520.2492378935781
1992,mechanic,all_tenures,534.67883,304,1230.6324809938762
1992,mgmtrel,all_tenures,375.15292,214,642.0140949044386
1992,mining,all_tenures,61.464330000000004,33,197.42696429720687
1992,operator,all_tenures,1766.53089,959,3973.3961194742697
1992,otheragr,all_tenures,70.28288,39,178.6235245626917
1992,othpers,all_tenures,43.28263,25,100.02587496367197
1992,product,all_tenures,470.61679,265,953.3422553512056
1992,prof,all_tenures,755.2358,437,1811.1611572415177
1992,recreation,all_tenures,14.001400000000002,7,38.26298744730999
1992,retsales,all_tenures,824.83557,464,2049.3737896933926
1992,shealth,all_tenures,80.61846000000001,43,221.70692531837096
1992,tech,all_tenures,387.44194,192,1057.7970789891522
1992,transp,all_tenures,1256.99781,713,2664.764004029575
1992,beauty,long_tenured,22.10706,11,53.23247384626162
1992,child,long_tenured,2.68275,2,5.454197421572298
1992,clean,long_tenured,25.12228,13,67.79335985554876
1992,cleric,long_tenured,807.44875,474,1782.536006643215
1992,constr,long_tenured,332.25221999999997,193,711.5006429788319
1992,exec,long_tenured,596.28825,320,1557.497866116286
1992,farmer,long_tenured,5.92962,3,12.645657293560042
1992,finsales,long_tenured,225.09457999999998,141,534.6426849388681
1992,firepol,long_tenured,5.6517800000000005,5,10.187244745685907
1992,food,long_tenured,147.50963000000002,88,286.7269625559769
1992,guard,long_tenured,35.33696,20,80.14452093315683
1992,janitor,long_tenured,93.46713000000001,54,279.6547806335952
1992,mechanic,long_tenured,276.82958,161,657.238431585073
1992,mgmtrel,long_tenured,198.60719,112,501.1674976235333
1992,mining,long_tenured,32.28984,16,111.53066767399024
1992,operator,long_tenured,831.88999,460,1928.999852285382
1992,otheragr,long_tenured,28.07326,17,70.833372565099
1992,othpers,long_tenured,17.09668,9,39.41467320095303
1992,product,long_tenured,304.17219,171,693.5666022083924
1992,prof,long_tenured,358.64362,211,653.2372077859881
1992,recreation,long_tenured,4.5196000000000005,3,9.340076216613648
1992,retsales,long_tenured,282.73215000000005,165,688.5746668415409
1992,shealth,long_tenured,23.15707,11,63.960879970211295
1992,tech,long_tenured,196.69259,90,626.6605246489092
1992,transp,long_tenured,483.45588,287,950.0372153458328
1994,beauty,all_tenures,28.5647603,15,57.71564535450623
1994,child,all_tenures,11.1335514,6,21.285076594096836
1994,clean,all_tenures,43.3520869,25,116.09901444677172
1994,cleric,all_tenures,1377.6835075000001,720,3730.6800347217277
1994,constr,all_tenures,668.9058017,336,1994.1218538675537
1994,exec,all_tenures,857.0584286,426,2165.76377344687
1994,farmer,all_tenures,10.862131999999999,5,34.8155560554097
1994,finsales,all_tenures,336.6048685,180,696.5997078757495
1994,firepol,all_tenures,11.1088225,5,27.144488757526823
1994,food,all_tenures,393.6446979,207,1089.5490051907097
1994,guard,all_tenures,61.793614999999996,31,125.71826968385264
1994,janitor,all_tenures,247.9388218,113,804.9233376084807
1994,mechanic,all_tenures,333.6304828,181,737.8093258499325
1994,mgmtrel,all_tenures,344.22225030000004,175,634.1599304646026
1994,mining,all_tenures,12.8533279,12,16.85191766268999
1994,operator,all_tenures,1020.3834597,495,2905.50757335406
1994,otheragr,all_tenures,51.6591644,27,103.38964490154218
1994,othpers,all_tenures,29.9064479,14,75.09186572887613
1994,product,all_tenures,322.637552,163,902.2081630744489
1994,prof,all_tenures,699.8000008,369,1710.8415112838443
1994,recreation,all_tenures,18.7571277,12,47.72664960136433
1994,retsales,all_tenures,708.7750566,366,1736.4858819719184
1994,shealth,all_tenures,70.4472078,39,182.5957611777734
1994,tech,all_tenures,289.8332065,147,821.5929199831221
1994,transp,all_tenures,870.7683082,433,2167.2393057821946
1994,beauty,long_tenured,8.551269199999998,5,16.636098374947334
1994,clean,long_tenured,14.1071624,10,22.84974357056601
1994,cleric,long_tenured,721.2545182,386,1588.2652537805454
1994,constr,long_tenured,236.41289619999998,125,698.3915702357804
1994,exec,long_tenured,605.0687031,294,1462.0647567686767
1994,farmer,long_tenured,9.1157842,4,24.493200923867352
1994,finsales,long_tenured,190.3174822,103,418.59000580629714
1994,firepol,long_tenured,5.0665301,3,11.773800002846786
1994,food,long_tenured,115.4992267,66,285.5499791205013
1994,guard,long_tenured,21.370418,12,40.91421003899395
1994,janitor,long_tenured,90.580994,44,340.3411497558324
1994,mechanic,long_tenured,179.3376567,98,423.5862897262988
1994,mgmtrel,long_tenured,210.412555,110,519.3165766353733
1994,mining,long_tenured,6.512535799999999,5,9.223851085530226
1994,operator,long_tenured,530.4670989,254,1480.5771610068928
1994,otheragr,long_tenured,26.179077799999998,16,57.55536184912881
1994,othpers,long_tenured,12.853072599999999,7,24.34662626830008
1994,product,long_tenured,215.1911551,109,605.4599908276613
1994,prof,long_tenured,394.4992748,204,932.3440463932014
1994,recreation,long_tenured,4.7038418,3,8.989049872863758
1994,retsales,long_tenured,263.6085703,136,788.0406215692072
1994,shealth,long_tenured,30.795585,17,65.04575205207055
1994,tech,long_tenured,162.30462469999998,81,379.87018646611097
1994,transp,long_tenured,356.2248381,185,946.0656527323009
1996,beauty,all_tenures,39.011852700000006,17,143.18501088439328
1996,child,all_tenures,9.115341500000001,4,21.66002907281495
1996,clean,all_tenures,67.2748225,24,218.64498071683246
1996,cleric,all_tenures,1442.6770976,589,4440.3877226063705
1996,constr,all_tenures,654.3403942,244,2224.710268823104
1996,exec,all_tenures,793.0768412,316,2368.089594031519
1996,farmer,all_tenures,2.4642255,2,4.826592441920169
