coding_block,occ1990dd,census_code,employed_thousands
2003_2010,803,9000,1782.6765574833335
2003_2010,804,7510,420.0702649333333
2003_2010,804,9130,26433.4310438
2003_2010,804,9600,4326.473729875001
2003_2010,808,9120,4813.107856633333
2003_2010,809,9110,102.93923495000001
2003_2010,809,9140,2614.3866234083334
2003_2010,809,9150,508.44115130833325
2003_2010,813,9350,614.6826010249999
2003_2010,823,9240,428.4345348833333
2003_2010,824,9200,404.50989876666665
2003_2010,824,9260,108.935928875
2003_2010,825,9230,67.81660083333333
2003_2010,829,9300,157.85182656666666
2003_2010,829,9310,291.95020432499996
2003_2010,829,9330,38.52100154166667
2003_2010,834,9340,38.72577525833333
2003_2010,844,6320,3158.8284190333334
2003_2010,848,9510,494.78271390000003
2003_2010,848,9560,49.84631813333334
2003_2010,853,9520,538.8009746416667
2003_2010,859,9500,55.21970069166667
2003_2010,859,9650,176.81896902500003
2003_2010,859,9730,33.72412038333333
2003_2010,859,9740,47.201943324999995
2003_2010,865,7610,220.0661362666667
2003_2010,866,6600,837.0761116
2003_2010,869,6260,11698.363725308333
2003_2010,869,6730,802.2237099416668
2003_2010,869,6930,43.10117601666666
2003_2010,873,8950,424.08318675
2003_2010,875,9720,657.1898098666667
2003_2010,878,9630,323.0569009916667
2003_2010,885,9360,758.9779691250001
2003_2010,887,9610,2692.857164316667
2003_2010,888,9640,3322.8596959999995
2003_2010,889,6740,97.399285075
2003_2010,889,6750,81.84916725833334
2003_2010,889,9420,133.877598275
2003_2010,889,9620,14475.197761316665
2011_2019,4,10,14168.964395675
2011_2019,7,120,10751.275979366668
2011_2019,8,135,170.05928530000003
2011_2019,8,136,2464.8586424083333
2011_2019,8,137,412.4756996083334
2011_2019,13,40,561.3214033
2011_2019,13,50,9229.772960108334
2011_2019,13,60,586.66854115
2011_2019,13,2825,1263.4937064166666
2011_2019,14,230,8041.50632915
2011_2019,15,350,5525.106559808332
2011_2019,18,410,6213.532056441666
2011_2019,19,325,16.883754841666665
2011_2019,19,4465,306.96177112500004
2011_2019,22,20,8964.658829158332
2011_2019,22,100,1394.8178452416664
2011_2019,22,110,5550.717116533334
2011_2019,22,140,2424.182749233333
2011_2019,22,220,8092.531919933333
2011_2019,22,300,1155.6464316999998
2011_2019,22,310,10427.137752008333
2011_2019,22,330,199.55816619166666
2011_2019,22,340,1390.8554886666666
2011_2019,22,360,145.23880385
2011_2019,22,420,3443.7020488333333
2011_2019,22,430,38662.77648214167
2011_2019,22,600,1050.527358825
2011_2019,22,725,1254.9967185833332
2011_2019,22,4300,1557.6700206500002
2011_2019,23,800,16200.164307925003
2011_2019,23,930,574.8246113416667
2011_2019,24,860,965.7768491833334
2011_2019,25,820,471.1718335416666
2011_2019,25,830,243.7310353916667
2011_2019,25,840,2130.376689466667
2011_2019,25,850,4196.958282833333
2011_2019,25,910,3125.683201825
2011_2019,25,940,955.08825395
2011_2019,25,950,637.5690252666667
2011_2019,26,710,7741.856703683334
